,parkID,surveyName,0
45,46,Olympic,"Yellowstone,57.7% match<br>Joshua Tree,57.4% match<br>Crater Lake,57.0% match<br>Bryce Canyon,56.1% match<br>Yosemite,54.6% match<br>Grand Canyon,54.5% match<br>Grand Teton,54.0% match<br>Zion,53.4% match<br>North Cascades,41.0% match<br>Mount Rainier,39.9% match<br>"
46,47,Petrified Forest,"Mesa Verde,62.8% match<br>Yosemite,62.2% match<br>Death Valley,62.1% match<br>Joshua Tree,61.8% match<br>Carlsbad Caverns,61.5% match<br>Grand Canyon,60.8% match<br>Bryce Canyon,60.0% match<br>Kings Canyon,58.2% match<br>Crater Lake,55.3% match<br>Channel Islands,54.2% match<br>"
47,48,Pinnacles,"Yellowstone,55.2% match<br>Crater Lake,53.6% match<br>Sequoia,53.5% match<br>Joshua Tree,52.6% match<br>Hawai'I Volcanoes,52.2% match<br>Death Valley,51.8% match<br>Zion,51.5% match<br>Redwood,49.2% match<br>Yosemite,45.4% match<br>Lassen Volcanic,44.6% match<br>"
48,49,Redwood,"Death Valley,55.6% match<br>Lassen Volcanic,55.0% match<br>Yellowstone,54.4% match<br>Hawai'I Volcanoes,50.5% match<br>Pinnacles,49.2% match<br>Crater Lake,48.7% match<br>Joshua Tree,48.6% match<br>Sequoia,45.1% match<br>Yosemite,42.7% match<br>Grand Canyon,42.7% match<br>"
49,50,Rocky Mountain,"Badlands,56.8% match<br>Yosemite,53.6% match<br>Glacier,53.2% match<br>Yellowstone,51.4% match<br>Zion,49.6% match<br>Bryce Canyon,49.3% match<br>Great Smoky Mountains,49.1% match<br>Great Sand Dunes,48.7% match<br>Grand Canyon,48.5% match<br>Grand Teton,46.4% match<br>"
50,51,Saguaro,"White Sands,69.8% match<br>Bryce Canyon,69.2% match<br>Redwood,68.5% match<br>Everglades,68.4% match<br>Grand Canyon,68.0% match<br>Rocky Mountain,67.3% match<br>Biscayne,66.5% match<br>Pinnacles,66.1% match<br>Crater Lake,65.6% match<br>Joshua Tree,62.6% match<br>"
51,52,Sequoia,"Pinnacles,53.5% match<br>Arches,51.7% match<br>Zion,46.5% match<br>Bryce Canyon,45.6% match<br>Redwood,45.1% match<br>Joshua Tree,43.5% match<br>Death Valley,40.9% match<br>Grand Canyon,40.0% match<br>Yosemite,38.6% match<br>Kings Canyon,30.9% match<br>"
52,53,Shenandoah,"Badlands,70.8% match<br>Black Canyon of the Gunnison,70.6% match<br>Rocky Mountain,69.9% match<br>Cuyahoga Valley,69.7% match<br>Congaree,68.2% match<br>Capitol Reef,67.4% match<br>Great Smoky Mountains,67.2% match<br>Grand Canyon,65.8% match<br>Great Sand Dunes,65.2% match<br>Acadia,50.8% match<br>"
53,54,Theodore Roosevelt,"Rocky Mountain,66.8% match<br>Mesa Verde,65.1% match<br>Grand Teton,64.2% match<br>Isle Royale,64.1% match<br>Black Canyon of the Gunnison,62.6% match<br>Glacier,62.4% match<br>Wind Cave,60.0% match<br>Great Sand Dunes,59.3% match<br>Badlands,57.4% match<br>Voyageurs,53.3% match<br>"
54,55,Virgin Islands,"Wrangell-St. Elias,75.8% match<br>White Sands,75.4% match<br>Haleakal_,75.3% match<br>Saguaro,74.8% match<br>Acadia,74.8% match<br>Grand Canyon,71.2% match<br>Cuyahoga Valley,71.0% match<br>Biscayne,65.8% match<br>American Samoa,65.1% match<br>Dry Tortugas,45.8% match<br>"
55,56,Voyageurs,"Rocky Mountain,68.4% match<br>Dry Tortugas,68.0% match<br>Gates of the Arctic,67.2% match<br>Biscayne,67.0% match<br>Isle Royale,66.5% match<br>Black Canyon of the Gunnison,60.8% match<br>Congaree,60.0% match<br>Great Sand Dunes,58.5% match<br>Wind Cave,55.3% match<br>Theodore Roosevelt,53.3% match<br>"
56,57,White Sands,"Saguaro,69.8% match<br>Zion,69.2% match<br>Channel Islands,67.8% match<br>Petrified Forest,66.4% match<br>Rocky Mountain,64.5% match<br>Black Canyon of the Gunnison,63.2% match<br>Carlsbad Caverns,62.3% match<br>Wrangell-St. Elias,59.1% match<br>American Samoa,59.0% match<br>Guadalupe Mountains,57.8% match<br>"
57,58,Wind Cave,"Denali,70.0% match<br>Guadalupe Mountains,69.1% match<br>Indiana Dunes,68.3% match<br>Congaree,67.1% match<br>Kenai Fjords,67.0% match<br>Cuyahoga Valley,64.1% match<br>Great Sand Dunes,62.3% match<br>Badlands,61.5% match<br>Theodore Roosevelt,60.0% match<br>Voyageurs,55.3% match<br>"
58,59,Wrangell-St. Elias,"Dry Tortugas,67.8% match<br>Denali,67.2% match<br>Great Sand Dunes,65.9% match<br>American Samoa,63.6% match<br>Congaree,59.2% match<br>White Sands,59.1% match<br>Kenai Fjords,56.4% match<br>Black Canyon of the Gunnison,55.7% match<br>Guadalupe Mountains,54.4% match<br>Gates of the Arctic,45.4% match<br>"
59,60,Yellowstone,"Crater Lake,52.7% match<br>Joshua Tree,51.8% match<br>Rocky Mountain,51.4% match<br>Bryce Canyon,50.5% match<br>Zion,48.8% match<br>Glacier,48.4% match<br>Death Valley,47.9% match<br>Grand Canyon,44.8% match<br>Yosemite,35.7% match<br>Grand Teton,21.0% match<br>"
60,61,Yosemite,"Grand Teton,44.9% match<br>Arches,43.8% match<br>Redwood,42.7% match<br>Death Valley,42.3% match<br>Bryce Canyon,40.9% match<br>Sequoia,38.6% match<br>Joshua Tree,37.8% match<br>Yellowstone,35.7% match<br>Zion,34.1% match<br>Grand Canyon,28.5% match<br>"
61,62,Zion,"Kings Canyon,48.9% match<br>Yellowstone,48.8% match<br>Canyonlands,48.4% match<br>Sequoia,46.5% match<br>Joshua Tree,45.3% match<br>Death Valley,38.1% match<br>Yosemite,34.1% match<br>Arches,34.0% match<br>Grand Canyon,31.2% match<br>Bryce Canyon,18.3% match<br>"
