,parkID,surveyName,0
37,38,Kings Canyon,"['1: Petrified Forest, 0.5818587300777683', '2: Pinnacles, 0.5560901831870929', '3: Arches, 0.5248994795603015', '4: Grand Canyon, 0.5164496081822871', '5: Bryce Canyon, 0.4937547536085388', '6: Zion, 0.48870305812445347', '7: Yosemite, 0.4885480820826379', '8: Joshua Tree, 0.47212983071442216', '9: Death Valley, 0.453838720168369', '10: Sequoia, 0.30943248111502164']"
38,39,Kobuk Valley,"['1: Redwood, 1.0', '2: Kenai Fjords, 1.0', '3: Joshua Tree, 1.0', '4: Lake Clark, 1.0', '5: Petrified Forest, 1.0', '6: Mammoth Cave, 1.0', '7: Mesa Verde, 1.0', '8: Mount Rainier, 1.0', '9: North Cascades, 1.0', '10: Kobuk Valley, 1.0']"
39,40,Lake Clark,"['1: American Samoa, 0.7396221780383523', '2: Olympic, 0.7318367124400094', '3: Everglades, 0.7229752467172353', '4: Haleakal_, 0.692567383197769', '5: Carlsbad Caverns, 0.6750309008093371', '6: Channel Islands, 0.6459358927474594', '7: Denali, 0.6373493929491453', '8: Gates of the Arctic, 0.6094332670575284', '9: Kenai Fjords, 0.5832781493496907', '10: Katmai, 0.02286016359632237']"
40,41,Lassen Volcanic,"['1: Bryce Canyon, 0.5899768662757394', '2: Grand Canyon, 0.5855569064405773', '3: Death Valley, 0.5772277511186297', '4: Sequoia, 0.5722456256894257', '5: Zion, 0.5608950014909642', '6: Redwood, 0.5498705728949584', '7: Yosemite, 0.5083144104700417', '8: Crater Lake, 0.49597296298387494', '9: Joshua Tree, 0.4955297798206535', '10: Pinnacles, 0.4458649840405522']"
41,42,Mammoth Cave,"['1: Biscayne, 0.6513021795506705', '2: Yellowstone, 0.6465920671274039', '3: Congaree, 0.6407698518486823', '4: Grand Canyon, 0.6336651907974707', '5: Bryce Canyon, 0.6280590008339908', '6: Great Smoky Mountains, 0.625343616103295', '7: Mount Rainier, 0.6140484599881415', '8: Rocky Mountain, 0.6070036908411787', '9: Grand Teton, 0.5881178255302033', '10: Indiana Dunes, 0.5235009355402971']"
42,43,Mesa Verde,"['1: Everglades, 0.6294501255307816', '2: Petrified Forest, 0.6280436698464115', '3: Canyonlands, 0.6271452043883973', '4: Death Valley, 0.6227427950816733', '5: Great Sand Dunes, 0.5965915574676119', '6: Zion, 0.5917716192556858', '7: Grand Canyon, 0.5803085257392657', '8: Bryce Canyon, 0.5489456031737734', '9: Capitol Reef, 0.5248078657680042', '10: Arches, 0.4778478870896635']"
43,44,Mount Rainier,"['1: Kings Canyon, 0.6158074769785475', '2: Mammoth Cave, 0.6140484599881415', '3: Channel Islands, 0.599997082665109', '4: Death Valley, 0.5947094910268065', '5: Redwood, 0.5933472015836049', '6: Joshua Tree, 0.5843757573764923', '7: Grand Teton, 0.5516864283013745', '8: Crater Lake, 0.4764162123524158', '9: North Cascades, 0.46435522347697544', '10: Olympic, 0.3986618430090355']"
44,45,North Cascades,"['1: Zion, 0.7310965169672261', '2: Bryce Canyon, 0.7258211696762544', '3: Wrangell-St. Elias, 0.7181504251849501', '4: Mammoth Cave, 0.7088602586402217', '5: Petrified Forest, 0.6991006932817084', '6: Saguaro, 0.6981772938905559', '7: Crater Lake, 0.6636013969399333', '8: American Samoa, 0.6541657493774591', '9: Mount Rainier, 0.46435522347697544', '10: Olympic, 0.40983794702304444']"
45,46,Olympic,"['1: Yellowstone, 0.5772589351853874', '2: Joshua Tree, 0.5740804974733862', '3: Crater Lake, 0.5697994673733392', '4: Bryce Canyon, 0.5612128772800198', '5: Yosemite, 0.5461893220690098', '6: Grand Canyon, 0.5451181815462204', '7: Grand Teton, 0.539610974730478', '8: Zion, 0.5339752042658724', '9: North Cascades, 0.40983794702304444', '10: Mount Rainier, 0.3986618430090355']"
46,47,Petrified Forest,"['1: Mesa Verde, 0.6280436698464115', '2: Yosemite, 0.6221636416884301', '3: Death Valley, 0.6210797512390693', '4: Joshua Tree, 0.6177582064350002', '5: Carlsbad Caverns, 0.6149978248943666', '6: Grand Canyon, 0.6076188926813301', '7: Bryce Canyon, 0.6003550568698588', '8: Kings Canyon, 0.5818587300777683', '9: Crater Lake, 0.5530095497829146', '10: Channel Islands, 0.5421618646625724']"
